,movie,year,imdb,metascore,votes
0,Avengers: Infinity War,2018,8.4,68,829282
1,Black Panther,2018,7.3,88,622975
2,Deadpool 2,2018,7.7,66,476565
3,Bohemian Rhapsody,2018,8.0,49,448229
4,A Quiet Place,2018,7.5,82,406322
5,Green Book,2018,8.2,69,373251
6,Spider-Man: Into the Spider-Verse,2018,8.4,87,371598
7,Aquaman,2018,6.9,55,369158
8,Ready Player One,2018,7.5,64,367256
9,Venom,2018,6.7,35,358963
10,A Star Is Born,2018,7.6,88,332650
11,Ant-Man and the Wasp,2018,7.1,70,307853
12,Solo: A Star Wars Story,2018,6.9,62,290695
13,Mission: Impossible - Fallout,2018,7.7,86,290205
14,Annihilation,2018,6.8,79,279961
15,Bird Box,2018,6.6,51,278196
16,Jurassic World: Fallen Kingdom,2018,6.2,51,265623
17,Incredibles 2,2018,7.6,80,248719
18,Hereditary,2018,7.3,87,239074
19,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,222096
20,BlacKkKlansman,2018,7.5,83,221535
21,Game Night,2018,6.9,66,206224
22,Tomb Raider,2018,6.3,48,190166
23,Ocean's Eight,2018,6.8,61,186381
24,The Favourite,2018,7.5,91,171390
25,First Man,2018,7.3,84,167724
26,Red Sparrow,2018,6.6,53,165540
27,Upgrade,2018,7.5,67,158409
28,The Meg,2018,5.6,46,149625
29,Rampage,2018,6.1,45,143346
30,Crazy Rich Asians,2018,6.9,74,141193
31,Searching,2018,7.6,71,140076
32,Roma,2018,7.7,96,139721
33,Bumblebee,2018,6.8,66,138242
34,Isle of Dogs,2018,7.9,82,138036
35,The Equalizer 2,2018,6.7,50,132619
36,Ralph Breaks the Internet,2018,7.0,71,131014
37,A Simple Favor,2018,6.8,67,128538
38,Bad Times at the El Royale,2018,7.1,60,128350
39,Sicario: Day of the Soldado,2018,7.1,61,124779
40,The Ballad of Buster Scruggs,2018,7.3,79,121723
41,Vice,2018,7.2,61,121113
42,Halloween,2018,6.5,67,120780
43,The Nun,2018,5.3,46,118065
44,The Predator,2018,5.3,48,115953
45,Tag,2018,6.5,56,114110
46,Avengers: Infinity War,2018,8.4,68,829282
47,Black Panther,2018,7.3,88,622975
48,Deadpool 2,2018,7.7,66,476565
49,Bohemian Rhapsody,2018,8.0,49,448229
50,A Quiet Place,2018,7.5,82,406322
51,Green Book,2018,8.2,69,373251
52,Spider-Man: Into the Spider-Verse,2018,8.4,87,371598
53,Aquaman,2018,6.9,55,369158
54,Ready Player One,2018,7.5,64,367256
55,Venom,2018,6.7,35,358963
56,A Star Is Born,2018,7.6,88,332650
57,Ant-Man and the Wasp,2018,7.1,70,307853
58,Solo: A Star Wars Story,2018,6.9,62,290695
59,Mission: Impossible - Fallout,2018,7.7,86,290205
60,Annihilation,2018,6.8,79,279961
61,Bird Box,2018,6.6,51,278196
62,Jurassic World: Fallen Kingdom,2018,6.2,51,265623
63,Incredibles 2,2018,7.6,80,248719
64,Hereditary,2018,7.3,87,239074
65,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,222096
66,BlacKkKlansman,2018,7.5,83,221535
67,Game Night,2018,6.9,66,206224
68,Tomb Raider,2018,6.3,48,190166
69,Ocean's Eight,2018,6.8,61,186381
70,The Favourite,2018,7.5,91,171390
71,First Man,2018,7.3,84,167724
72,Red Sparrow,2018,6.6,53,165540
73,Upgrade,2018,7.5,67,158409
74,The Meg,2018,5.6,46,149625
75,Rampage,2018,6.1,45,143346
76,Crazy Rich Asians,2018,6.9,74,141193
77,Searching,2018,7.6,71,140076
78,Roma,2018,7.7,96,139721
79,Bumblebee,2018,6.8,66,138242
80,Isle of Dogs,2018,7.9,82,138036
81,The Equalizer 2,2018,6.7,50,132619
82,Ralph Breaks the Internet,2018,7.0,71,131014
83,A Simple Favor,2018,6.8,67,128538
84,Bad Times at the El Royale,2018,7.1,60,128350
85,Sicario: Day of the Soldado,2018,7.1,61,124779
86,The Ballad of Buster Scruggs,2018,7.3,79,121723
87,Vice,2018,7.2,61,121113
88,Halloween,2018,6.5,67,120780
89,The Nun,2018,5.3,46,118065
90,The Predator,2018,5.3,48,115953
91,Tag,2018,6.5,56,114110
92,Avengers: Infinity War,2018,8.4,68,829282
93,Black Panther,2018,7.3,88,622975
94,Deadpool 2,2018,7.7,66,476565
95,Bohemian Rhapsody,2018,8.0,49,448229
96,A Quiet Place,2018,7.5,82,406322
97,Green Book,2018,8.2,69,373251
98,Spider-Man: Into the Spider-Verse,2018,8.4,87,371598
99,Aquaman,2018,6.9,55,369158
100,Ready Player One,2018,7.5,64,367256
101,Venom,2018,6.7,35,358963
102,A Star Is Born,2018,7.6,88,332650
103,Ant-Man and the Wasp,2018,7.1,70,307853
104,Solo: A Star Wars Story,2018,6.9,62,290695
105,Mission: Impossible - Fallout,2018,7.7,86,290205
106,Annihilation,2018,6.8,79,279961
107,Bird Box,2018,6.6,51,278196
108,Jurassic World: Fallen Kingdom,2018,6.2,51,265623
109,Incredibles 2,2018,7.6,80,248719
110,Hereditary,2018,7.3,87,239074
111,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,222096
112,BlacKkKlansman,2018,7.5,83,221535
113,Game Night,2018,6.9,66,206224
114,Tomb Raider,2018,6.3,48,190166
115,Ocean's Eight,2018,6.8,61,186381
116,The Favourite,2018,7.5,91,171390
117,First Man,2018,7.3,84,167724
118,Red Sparrow,2018,6.6,53,165540
119,Upgrade,2018,7.5,67,158409
120,The Meg,2018,5.6,46,149625
121,Rampage,2018,6.1,45,143346
122,Crazy Rich Asians,2018,6.9,74,141193
123,Searching,2018,7.6,71,140076
124,Roma,2018,7.7,96,139721
125,Bumblebee,2018,6.8,66,138242
126,Isle of Dogs,2018,7.9,82,138036
127,The Equalizer 2,2018,6.7,50,132619
128,Ralph Breaks the Internet,2018,7.0,71,131014
129,A Simple Favor,2018,6.8,67,128538
130,Bad Times at the El Royale,2018,7.1,60,128350
131,Sicario: Day of the Soldado,2018,7.1,61,124779
132,The Ballad of Buster Scruggs,2018,7.3,79,121723
133,Vice,2018,7.2,61,121113
134,Halloween,2018,6.5,67,120780
135,The Nun,2018,5.3,46,118065
136,The Predator,2018,5.3,48,115953
137,Tag,2018,6.5,56,114110
138,Avengers: Infinity War,2018,8.4,68,829282
139,Black Panther,2018,7.3,88,622975
140,Deadpool 2,2018,7.7,66,476565
141,Bohemian Rhapsody,2018,8.0,49,448229
142,A Quiet Place,2018,7.5,82,406322
143,Green Book,2018,8.2,69,373251
144,Spider-Man: Into the Spider-Verse,2018,8.4,87,371598
145,Aquaman,2018,6.9,55,369158
146,Ready Player One,2018,7.5,64,367256
147,Venom,2018,6.7,35,358963
148,A Star Is Born,2018,7.6,88,332650
149,Ant-Man and the Wasp,2018,7.1,70,307853
150,Solo: A Star Wars Story,2018,6.9,62,290695
151,Mission: Impossible - Fallout,2018,7.7,86,290205
152,Annihilation,2018,6.8,79,279961
153,Bird Box,2018,6.6,51,278196
154,Jurassic World: Fallen Kingdom,2018,6.2,51,265623
155,Incredibles 2,2018,7.6,80,248719
156,Hereditary,2018,7.3,87,239074
